command_line;score_binary;GetSystemTimeAsFileTime;SetUnhandledExceptionFilter;NtOpenThread;LdrGetDllHandle;LdrGetProcedureAddress;RegOpenKeyExW;RegQueryValueExW;RegCloseKey;GetFileAttributesW;FindFirstFileExW;NtClose;NtOpenKey;NtQueryValueKey;NtAllocateVirtualMemory;SetErrorMode;LdrLoadDll;NtCreateFile;GetVolumePathNameW;NtQueryInformationFile;GetFileType;SetFilePointer;NtReadFile;SetStdHandle;NtWriteFile;GetFileSize;GetSystemWindowsDirectoryW;NtCreateSection;NtMapViewOfSection;CreateProcessInternalW;NtFreeVirtualMemory;NtOpenFile;DeleteFileW;NtQueryDirectoryFile;WriteConsoleW;NtTerminateProcess;LdrUnloadDll;CoInitializeEx;CoInitializeSecurity;GetFileVersionInfoSizeW;GetFileVersionInfoW;RegCreateKeyExW;LoadStringW;GetSystemInfo;CreateThread;CoCreateInstance;NtUnmapViewOfSection;GetSystemDirectoryA;RegOpenKeyExA;RegQueryValueExA;GetSystemDirectoryW;NtCreateMutant;CryptAcquireContextA;RegEnumKeyExA;RegQueryInfoKeyW;RegEnumValueW;GlobalMemoryStatus;CoUninitialize;NtDuplicateObject;NtQueryKey;NtOpenSection;CreateDirectoryW;CreateActCtxW;GetVolumeNameForVolumeMountPointW;RegEnumKeyW;GetFileSizeEx;GetFileInformationByHandleEx;NtOpenProcess;GetNativeSystemInfo;GetVolumePathNamesForVolumeNameW;NtQueryAttributesFile;SetFilePointerEx;NetShareEnum;GetFileInformationByHandle;DeviceIoControl;GetComputerNameW;SendNotifyMessageW;NtResumeThread;GetCursorPos;FindResourceA;SetWindowsHookExA;FindWindowW;FindResourceExW;LoadResource;GetSystemMetrics;GetForegroundWindow;WSAStartup;NtDelayExecution;UnhookWindowsHookEx;socket;bind;ioctlsocket;connect;select;closesocket;SetFileTime;CopyFileA;NtDeviceIoControlFile;setsockopt;send;shutdown;recv;GetTempPathW;NtProtectVirtualMemory;NtQuerySystemInformation;GlobalMemoryStatusEx;NtSetInformationFile;NtCreateThreadEx;CryptAcquireContextW;CreateToolhelp32Snapshot;Process32FirstW;Process32NextW;Thread32First;Thread32Next;Module32FirstW;Module32NextW;GetTimeZoneInformation;WriteConsoleA;SHGetSpecialFolderLocation;listen;getsockname;accept;SetFileInformationByHandle;GetAdaptersAddresses;LookupPrivilegeValueW;LookupAccountSidW;GetComputerNameA;__exception__;SHGetFolderPathW;CopyFileW;SearchPathW;NtEnumerateValueKey;NtOpenMutant;FindResourceW;RegEnumKeyExW;DrawTextExW;RegSetValueExW;GetUserNameExW;InternetCrackUrlW;NtOpenDirectoryObject;CoCreateInstanceEx;CoGetClassObject;IWbemServices_ExecQuery;RegSetValueExA;SizeofResource;CryptDecrypt;CryptGenKey;CryptExportKey;CryptEncrypt;MoveFileWithProgressW;SetFileAttributesW;GetUserNameW;GetDiskFreeSpaceExW;NtEnumerateKey;NtOpenKeyEx;GetKeyState;OleInitialize;FindWindowExW;MessageBoxTimeoutW;GetFileAttributesExW;RemoveDirectoryW;RegOpenKeyExA;RtlAddVectoredExceptionHandler;GetSystemWindowsDirectoryA;OpenSCManagerA;OpenServiceA;RtlRemoveVectoredExceptionHandler;FindResourceExA;GetUserNameExA;GetUserNameA
cmd /c 137231670656631.bat;10;3;1;1;4;9;3;14;2;9;21;72;47;12;7;20;2;16;1;3;34;47;12;16;4;3;1;1;1;1;10;2;2;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cscript.exe  //nologo m.vbs;10;103;0;0;7;82;600;2302;494;5;10;319;73;15;67;12;33;79;1;6;2;45;50;0;1;7;9;17;27;0;10;5;1;113;0;3;7;28;1;1;1;3;2;2;2;7;28;2;57;1;2;4;1;45;32;64;1;28;13;2;6;2;2;4;111;13;12;40;1;8;2;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cmd.exe /c start /b @WanaDecryptor@.exe vs;10;2;1;1;4;4;3;14;2;2;6;16;6;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
@WanaDecryptor@.exe  vs;10;0;0;0;2;33;1;0;1;0;0;48;16;10;14;2;17;2;0;1;1;0;2;0;0;0;1;1;1;1;3;1;0;0;0;3;8;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;2;1;10;13;245;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
@WanaDecryptor@.exe co;10;2;0;0;1;33;1;0;1;76;1;39;15;9;17;2;17;14;0;1;3;251;1973;0;571;0;1;1;1;1;17;1;0;1;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;2;1;10;13;245;1;1;3;0;7;7;13;7;7;10;9;1;6;17;15;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
taskdl.exe;10;0;0;0;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TaskData\Tor\taskhsvc.exe;10;60951;1;0;1;71;16;8;15;0;23;566;5;4;9580;0;18;56;0;0;27;6049;15103;0;16296;0;6;487;496;0;35;0;11;0;0;0;15;1;0;0;0;0;1;1;0;0;495;3;1;1;1;2;2;0;0;0;3;1;8;0;0;1;0;3;0;0;0;0;1;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;15;2;21;13;6160;16;0;0;5;1;440;0;3800;0;2;1;2;9;1;6;3;3;155;3;1616;3;94;1;37;1;2;7;7;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cmd.exe /c vssadmin delete shadows /all /quiet & wmic shadowcopy delete & bcdedit /set {default} bootstatuspolicy ignoreallfailures & bcdedit /set {default} recoveryenabled no & wbadmin delete catalog -quiet;10;2;1;1;4;6;3;14;2;2;49;24;7;6;2;15;1;1;0;0;3;0;0;0;0;0;1;1;1;2;0;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vssadmin  delete shadows /all /quiet ;10;1;1;0;2;1;0;0;0;0;0;17;2;2;2;0;1;2;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;0;2;3;3;1;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
taskse.exe C:\Users\cuckoo\AppData\Local\Temp\@WanaDecryptor@.exe;10;0;0;0;2;3;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
