command_line;score_binary;GetSystemTimeAsFileTime;SetUnhandledExceptionFilter;NtOpenThread;LdrGetDllHandle;LdrGetProcedureAddress;RegOpenKeyExW;RegQueryValueExW;RegCloseKey;GetFileAttributesW;FindFirstFileExW;NtClose;NtOpenKey;NtQueryValueKey;NtAllocateVirtualMemory;SetErrorMode;LdrLoadDll;NtCreateFile;GetVolumePathNameW;NtQueryInformationFile;GetFileType;SetFilePointer;NtReadFile;SetStdHandle;NtWriteFile;GetFileSize;GetSystemWindowsDirectoryW;NtCreateSection;NtMapViewOfSection;CreateProcessInternalW;NtFreeVirtualMemory;NtOpenFile;DeleteFileW;NtQueryDirectoryFile;WriteConsoleW;NtTerminateProcess;LdrUnloadDll;CoInitializeEx;CoInitializeSecurity;GetFileVersionInfoSizeW;GetFileVersionInfoW;RegCreateKeyExW;LoadStringW;GetSystemInfo;CreateThread;CoCreateInstance;NtUnmapViewOfSection;GetSystemDirectoryA;RegOpenKeyExA;RegQueryValueExA;GetSystemDirectoryW;NtCreateMutant;CryptAcquireContextA;RegEnumKeyExA;RegQueryInfoKeyW;RegEnumValueW;GlobalMemoryStatus;CoUninitialize;NtDuplicateObject;NtQueryKey;NtOpenSection;CreateDirectoryW;CreateActCtxW;GetVolumeNameForVolumeMountPointW;RegEnumKeyW;GetFileSizeEx;GetFileInformationByHandleEx;NtOpenProcess;GetNativeSystemInfo;GetVolumePathNamesForVolumeNameW;NtQueryAttributesFile;SetFilePointerEx;NetShareEnum;GetFileInformationByHandle;DeviceIoControl;GetComputerNameW;SendNotifyMessageW;NtResumeThread;GetCursorPos;FindResourceA;SetWindowsHookExA;FindWindowW;FindResourceExW;LoadResource;GetSystemMetrics;GetForegroundWindow;WSAStartup;NtDelayExecution;UnhookWindowsHookEx;socket;bind;ioctlsocket;connect;select;closesocket;SetFileTime;CopyFileA;NtDeviceIoControlFile;setsockopt;send;shutdown;recv;GetTempPathW;NtProtectVirtualMemory;NtQuerySystemInformation;GlobalMemoryStatusEx;NtSetInformationFile;NtCreateThreadEx;CryptAcquireContextW;CreateToolhelp32Snapshot;Process32FirstW;Process32NextW;Thread32First;Thread32Next;Module32FirstW;Module32NextW;GetTimeZoneInformation;WriteConsoleA;SHGetSpecialFolderLocation;listen;getsockname;accept;SetFileInformationByHandle;GetAdaptersAddresses;LookupPrivilegeValueW;LookupAccountSidW;GetComputerNameA;__exception__;SHGetFolderPathW;CopyFileW;SearchPathW;NtEnumerateValueKey;NtOpenMutant;FindResourceW;RegEnumKeyExW;DrawTextExW;RegSetValueExW;GetUserNameExW;InternetCrackUrlW;NtOpenDirectoryObject;CoCreateInstanceEx;CoGetClassObject;IWbemServices_ExecQuery;RegSetValueExA;SizeofResource;CryptDecrypt;CryptGenKey;CryptExportKey;CryptEncrypt;MoveFileWithProgressW;SetFileAttributesW;GetUserNameW;GetDiskFreeSpaceExW;NtEnumerateKey;NtOpenKeyEx;GetKeyState;OleInitialize;FindWindowExW;MessageBoxTimeoutW;GetFileAttributesExW;RemoveDirectoryW;RegOpenKeyExA;RtlAddVectoredExceptionHandler;GetSystemWindowsDirectoryA;OpenSCManagerA;OpenServiceA;RtlRemoveVectoredExceptionHandler;FindResourceExA;GetUserNameExA;GetUserNameA
C:\Windows\system32\lsass.exe;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:\Users\cuckoo\AppData\Local\Temp\4 (copy).exe ;1.8;5;1;0;13;123;117;92;67;65;1;91;19;11;25;4;48;22;0;1;1;119;95;0;1;1;10;1;7;0;12;3;3;13;0;0;0;2;0;0;0;0;10;7;1;7;0;0;3;0;14;4;0;0;0;0;0;2;4;0;14;8;2;5;0;1;1;0;1;6;0;0;0;0;0;0;0;0;21;0;0;0;14;11;201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;30;1;1;1;4;0;0;0;0;0;0;0;0;0;0
C:\Windows\system32\lsass.exe;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:\Users\cuckoo\AppData\Local\Temp\4 (another copy).exe ;2.8;5;1;0;13;123;117;92;67;65;1;92;19;11;28;4;48;22;0;1;1;119;95;0;1;1;10;1;7;0;17;3;3;13;0;0;0;2;0;0;0;0;10;7;1;7;0;0;3;0;14;4;0;0;0;0;0;2;4;0;14;8;2;5;0;1;1;0;1;8;0;0;0;0;0;0;0;0;4;0;0;0;14;11;201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;30;1;1;1;4;0;0;0;0;0;0;0;0;0;0
C:\Windows\system32\lsass.exe;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:\Users\cuckoo\AppData\Local\Temp\4 (copy).exe ;1.8;5;1;0;13;123;117;92;67;65;1;91;19;11;25;4;48;22;0;1;1;119;95;0;1;1;10;1;7;0;12;3;3;13;0;0;0;2;0;0;0;0;10;7;1;7;0;0;3;0;14;4;0;0;0;0;0;2;4;0;14;8;2;5;0;1;1;0;1;6;0;0;0;0;0;0;0;0;21;0;0;0;14;11;201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;30;1;1;1;4;0;0;0;0;0;0;0;0;0;0
C:\Windows\system32\lsass.exe;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:\Users\cuckoo\AppData\Local\Temp\4 (copy).exe ;1.8;5;1;0;13;123;117;92;67;65;1;91;19;11;25;4;48;22;0;1;1;119;95;0;1;1;10;1;7;0;12;3;3;13;0;0;0;2;0;0;0;0;10;7;1;7;0;0;3;0;14;4;0;0;0;0;0;2;4;0;14;8;2;5;0;1;1;0;1;6;0;0;0;0;0;0;0;0;21;0;0;0;14;11;201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;30;1;1;1;4;0;0;0;0;0;0;0;0;0;0
C:\Windows\system32\lsass.exe;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C:\Users\cuckoo\AppData\Local\Temp\4 (another copy).exe ;2.8;5;1;0;13;123;117;92;67;65;1;92;19;11;28;4;48;22;0;1;1;119;95;0;1;1;10;1;7;0;17;3;3;13;0;0;0;2;0;0;0;0;10;7;1;7;0;0;3;0;14;4;0;0;0;0;0;2;4;0;14;8;2;5;0;1;1;0;1;8;0;0;0;0;0;0;0;0;4;0;0;0;14;11;201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;30;1;1;1;4;0;0;0;0;0;0;0;0;0;0
